🕘️更新时间,#genre#
2025-04-22 15:13:40,http://localhost:8000/hls/6939365268446368814

📺央视频道,#genre#
CCTV-1,http://localhost:8000/hls/6939365268446368814
CCTV-2,http://localhost:8000/hls/-1790728900091097107
CCTV-3,http://localhost:8000/hls/-8083301932363260045
CCTV-4,http://localhost:8000/hls/8276768819604385526
CCTV-5,http://localhost:8000/hls/-8960344037265223807
CCTV-5+,http://localhost:8000/hls/7649890425263793305
CCTV-6,http://localhost:8000/hls/7322541521109221824
CCTV-7,http://localhost:8000/hls/-89652790242193363
CCTV-8,http://localhost:8000/hls/-6144403046337041183
CCTV-9,http://localhost:8000/hls/-7820743324151671193
CCTV-11,http://localhost:8000/hls/-7774387889545372535
CCTV-12,http://localhost:8000/hls/5138386304848192518
CCTV-13,http://localhost:8000/hls/-8646683971341235543
CCTV-14,http://localhost:8000/hls/-6690018782118986802
CCTV-15,http://localhost:8000/hls/-2156065619916582828
CCTV-17,http://localhost:8000/hls/8916967329575370747

📡卫视频道,#genre#
广东卫视,http://localhost:8000/hls/-3730410895086272920
浙江卫视,http://localhost:8000/hls/-1142496906512467796
湖南卫视,http://localhost:8000/hls/7610438445481705617
北京卫视,http://localhost:8000/hls/-456563267924684411
湖北卫视,http://localhost:8000/hls/6410186537281961432
安徽卫视,http://localhost:8000/hls/2634020577330396288
重庆卫视,http://localhost:8000/hls/-4707701389022010646
东方卫视,http://localhost:8000/hls/78721923880798617
甘肃卫视,http://localhost:8000/hls/-4792127082712910853
甘肃卫视,http://localhost:8000/hls/4176892604785558742
广西卫视,http://localhost:8000/hls/-4084978905121949369
广西卫视,http://localhost:8000/hls/-4280217378593643830
贵州卫视,http://localhost:8000/hls/-3583966244296755840
海南卫视,http://localhost:8000/hls/899453235282710845
河北卫视,http://localhost:8000/hls/2860130529270743610
河南卫视,http://localhost:8000/hls/-8176438867530989386
吉林卫视,http://localhost:8000/hls/3467474904391611177
江苏卫视,http://localhost:8000/hls/-8470845650757502656
江西卫视,http://localhost:8000/hls/7052153801402283874
辽宁卫视,http://localhost:8000/hls/-8476184460110769629
青海卫视,http://localhost:8000/hls/7726404431619831881
山西卫视,http://localhost:8000/hls/3958424808010013515
山西卫视,http://localhost:8000/hls/-6299508523512083107
陕西卫视,http://localhost:8000/hls/7297525623724176921
四川卫视,http://localhost:8000/hls/4476642936459361819
深圳卫视,http://localhost:8000/hls/-2407612009811689214
云南卫视,http://localhost:8000/hls/-7718528788597612519
云南卫视,http://localhost:8000/hls/7367111290402095597

🎬数字电视,#genre#

🪁动画频道,#genre#
